case,group,ms,tool_calls
CON-01,consistency,16602,1
DATE-03,dates,3207,0
DATE-04,dates,8581,1
PLAY-03,playlist,9326,3
PLAY-04,playlist,15294,3
ROB-05,robustness,5873,0
PLAY-02,playlist,13168,3
CON-02,consistency,22734,4
CON-03,consistency,11311,2
CON-04,consistency,6606,1
CON-05,consistency,7368,1
CON-06,consistency,9991,0
DATE-01,dates,16408,3
DATE-02,dates,5457,1
DATE-05,dates,8822,1
DATE-06,dates,5355,0
DATE-07,dates,9037,2
DATE-08,dates,13092,2
DATE-09,dates,8414,1
DATE-10,dates,2879,0
PLAY-01,playlist,17250,3
PLAY-05,playlist,9116,0
ROB-01,robustness,5051,0
ROB-02,robustness,11774,3
ROB-03,robustness,18084,3
ROB-04,robustness,10993,2
ROB-06,robustness,5191,0
